município,uf,população estimada
Alta Floresta D'Oeste,RO,22.853
Ariquemes,RO,108.573
Cabixi,RO,5.690
Cacoal,RO,97.637
Cerejeiras,RO,16.975
Colorado do Oeste,RO,16.588
Corumbiara,RO,8.001
Costa Marques,RO,13.522
Espigão D'Oeste,RO,32.717
Guajará-Mirim,RO,43.553
Jaru,RO,55.583
Ji-Paraná,RO,139.359
Machadinho D'Oeste,RO,34.063
Nova Brasilândia D'Oeste,RO,16.504
Ouro Preto do Oeste,RO,38.681
Pimenta Bueno,RO,39.053
Porto Velho,RO,514.873
Presidente Médici,RO,20.518
Rio Crespo,RO,3.753
Rolim de Moura,RO,62.559
Santa Luzia D'Oeste,RO,7.877
Vilhena,RO,108.528
São Miguel do Guaporé,RO,22.267
Nova Mamoré,RO,28.496
Alvorada D'Oeste,RO,13.837
Alto Alegre dos Parecis,RO,12.263
Alto Paraíso,RO,17.463
Buritis,RO,30.729
Novo Horizonte do Oeste,RO,8.056
Cacaulândia,RO,4.345
Campo Novo de Rondônia,RO,9.225
Candeias do Jamari,RO,24.163
Castanheiras,RO,3.456
Chupinguaia,RO,10.129
Cujubim,RO,15.883
Governador Jorge Teixeira,RO,8.420
Itapuã do Oeste,RO,9.209
Ministro Andreazza,RO,6.657
Mirante da Serra,RO,9.740
Monte Negro,RO,12.241
Nova União,RO,6.577
Parecis,RO,4.390
Pimenteiras do Oeste,RO,2.311
Primavera de Rondônia,RO,3.279
São Felipe D'Oeste,RO,5.605
São Francisco do Guaporé,RO,17.511
Seringueiras,RO,12.954
Teixeirópolis,RO,4.536
Theobroma,RO,8.540
Urupá,RO,11.377
Vale do Anari,RO,8.265
Vale do Paraíso,RO,6.843
Acrelândia,AC,14.657
Assis Brasil,AC,8.573
Brasiléia,AC,27.841
Bujari,AC,13.766
Capixaba,AC,10.922
Cruzeiro do Sul,AC,98.382
Epitaciolândia,AC,19.739
Feijó,AC,37.644
Jordão,AC,9.787
Mâncio Lima,AC,20.329
Manoel Urbano,AC,12.776
Marechal Thaumaturgo,AC,17.951
Plácido de Castro,AC,17.127
Porto Walter,AC,11.275
Rio Branco,AC,387.852
Rodrigues Alves,AC,15.537
Santa Rosa do Purus,AC,7.143
Senador Guiomard,AC,22.352
Sena Madureira,AC,43.916
Tarauacá,AC,46.517
Xapuri,AC,19.090
Porto Acre,AC,17.455
Alvarães,AM,16.670
Amaturá,AM,11.411
Anamã,AM,10.318
Anori,AM,17.932
Apuí,AM,21.735
Atalaia do Norte,AM,15.892
Autazes,AM,45.328
Barcelos,AM,18.626
Barreirinha,AM,33.436
Benjamin Constant,AM,40.509
Beruri,AM,22.136
Boa Vista do Ramos,AM,25.769
Boca do Acre,AM,38.246
Borba,AM,34.879
Caapiranga,AM,14.310
Canutama,AM,17.885
Carauari,AM,30.892
Careiro,AM,32.442
Careiro da Várzea,AM,19.809
Coari,AM,73.820
Codajás,AM,24.451
Eirunepé,AM,35.534
Envira,AM,17.920
Fonte Boa,AM,27.875
Guajará,AM,14.332
Humaitá,AM,62.312
Ipixuna,AM,25.458
Iranduba,AM,67.114
Itacoatiara,AM,112.520
Itamarati,AM,11.730
Itapiranga,AM,10.805
Japurá,AM,9.397
Juruá,AM,11.152
Jutaí,AM,27.656
Lábrea,AM,48.927
Manacapuru,AM,110.691
Manaquiri,AM,17.009
Manaus,AM,2.279.686
Manicoré,AM,57.758
Maraã,AM,15.843
Maués,AM,65.714
Nhamundá,AM,21.106
Nova Olinda do Norte,AM,28.267
Novo Airão,AM,16.467
Novo Aripuanã,AM,24.987
Parintins,AM,101.956
Pauini,AM,20.232
Presidente Figueiredo,AM,33.004
Rio Preto da Eva,AM,25.723
Santa Isabel do Rio Negro,AM,14.176
Santo Antônio do Içá,AM,30.448
São Gabriel da Cachoeira,AM,56.406
São Paulo de Olivença,AM,35.196
São Sebastião do Uatumã,AM,12.247
Silves,AM,12.404
Tabatinga,AM,72.283
Tapauá,AM,20.501
Tefé,AM,79.278
Tonantins,AM,20.224
Uarini,AM,15.278
Urucará,AM,19.505
Urucurituba,AM,25.592
Amajari,RR,15.583
Alto Alegre,RR,23.049
Boa Vista,RR,470.169
Bonfim,RR,15.222
Cantá,RR,20.552
Caracaraí,RR,22.443
Caroebe,RR,11.708
Iracema,RR,10.778
Mucajaí,RR,19.619
Normandia,RR,15.744
Pacaraima,RR,22.104
Rorainópolis,RR,36.747
São João da Baliza,RR,9.727
São Luiz,RR,7.777
Uiramutã,RR,15.571
Abaetetuba,PA,170.999
Abel Figueiredo,PA,6.302
Acará,PA,62.701
Afuá,PA,40.246
Água Azul do Norte,PA,17.960
Alenquer,PA,74.836
Almeirim,PA,36.334
Altamira,PA,136.982
Anajás,PA,30.003
Ananindeua,PA,507.838
Anapu,PA,34.947
Augusto Corrêa,PA,47.596
Aurora do Pará,PA,24.321
Aveiro,PA,19.223
Bagre,PA,34.633
Baião,PA,55.949
Bannach,PA,4.252
Barcarena,PA,137.331
Belém,PA,1.398.531
Belterra,PA,18.954
Benevides,PA,68.191
Bom Jesus do Tocantins,PA,18.958
Bonito,PA,12.998
Bragança,PA,131.679
Brasil Novo,PA,26.606
Brejo Grande do Araguaia,PA,6.985
Breu Branco,PA,47.351
Breves,PA,115.051
Bujaru,PA,25.112
Cachoeira do Piriá,PA,19.578
Cachoeira do Arari,PA,25.243
Cametá,PA,143.837
Canaã dos Carajás,PA,86.629
Capanema,PA,74.808
Capitão Poço,PA,59.960
Castanhal,PA,207.603
Chaves,PA,21.487
Colares,PA,13.526
Conceição do Araguaia,PA,47.099
Concórdia do Pará,PA,28.287
Cumaru do Norte,PA,14.937
Curionópolis,PA,20.859
Curralinho,PA,36.451
Curuá,PA,14.834
Curuçá,PA,44.413
Dom Eliseu,PA,62.322
Eldorado do Carajás,PA,29.425
Faro,PA,9.125
Floresta do Araguaia,PA,18.565
Garrafão do Norte,PA,25.552
Goianésia do Pará,PA,27.059
Gurupá,PA,33.922
Igarapé-Açu,PA,37.855
